Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
4245.56,2,9,2021-07-03 13:15:52,+27.07433,-82.43655,26,33.2,225.2,+5.9,13:15:52,AUDIO,PLAY,AOA_01_16,
4245.56,2,9,2021-07-03 13:15:52,+27.07433,-82.43655,26,33.2,225.2,+5.9,13:15:52,AUDIO,STOP,AOA_12_16,
4246.06,2,9,2021-07-03 13:15:53,+27.07428,-82.43661,26,32.7,225.4,+5.9,13:15:53,AUDIO,STOP,AOA_01_16,
4247.06,2,9,2021-07-03 13:15:54,+27.07417,-82.43673,27,31.8,225.5,+5.9,13:15:54,AUDIO,PLAY,AOA_07_16,
4247.06,2,9,2021-07-03 13:15:54,+27.07417,-82.43673,27,31.8,225.5,+5.9,13:15:54,AUDIO,STOP,AOA_01_16,
4247.56,2,9,2021-07-03 13:15:54,+27.07412,-82.43679,27,31.6,226.8,+5.9,13:15:54,AUDIO,STOP,AOA_07_16,
4523.94,2,9,2021-07-03 13:20:31,+27.07917,-82.43120,177,61.1,224.7,+5.9,13:20:31,AUDIO,PLAY,TFC,
4523.94,2,9,2021-07-03 13:20:31,+27.07917,-82.43120,177,61.1,224.7,+5.9,13:20:31,AUDIO,PLAY,TFC,
4524.00,2,9,2021-07-03 13:20:31,+27.07917,-82.43120,174,61.1,224.7,+5.9,13:20:31,AUDIO,STOP,TFC,
4871.81,2,8,2021-07-03 13:26:19,+27.07343,-82.43745,24,37.2,225.4,+5.9,13:26:19,AUDIO,PLAY,AOA_04_16,
4871.81,2,8,2021-07-03 13:26:19,+27.07343,-82.43745,24,37.2,225.4,+5.9,13:26:19,AUDIO,STOP,AOA_07_16,
4872.31,2,8,2021-07-03 13:26:19,+27.07337,-82.43753,24,36.6,227.1,+5.9,13:26:19,AUDIO,PLAY,AOA_01_16,
4872.31,2,8,2021-07-03 13:26:19,+27.07337,-82.43753,24,36.6,227.1,+5.9,13:26:19,AUDIO,STOP,AOA_04_16,
4872.81,2,8,2021-07-03 13:26:20,+27.07331,-82.43760,25,36.4,227.6,+5.9,13:26:20,AUDIO,STOP,AOA_01_16,
4875.81,2,8,2021-07-03 13:26:23,+27.07298,-82.43800,23,34.4,230.5,+5.9,13:26:23,AUDIO,PLAY,AOA_07_16,
4875.81,2,8,2021-07-03 13:26:23,+27.07298,-82.43800,23,34.4,230.5,+5.9,13:26:23,AUDIO,STOP,AOA_01_16,
4876.31,2,8,2021-07-03 13:26:23,+27.07293,-82.43807,23,34.4,229.3,+5.9,13:26:23,AUDIO,PLAY,AOA_05_16,
4876.31,2,8,2021-07-03 13:26:23,+27.07293,-82.43807,23,34.4,229.3,+5.9,13:26:23,AUDIO,STOP,AOA_07_16,
4876.81,2,8,2021-07-03 13:26:24,+27.07287,-82.43814,23,34.1,227.6,+5.9,13:26:24,AUDIO,STOP,AOA_05_16,
4883.31,2,8,2021-07-03 13:26:30,+27.07215,-82.43896,24,38.0,225.0,+5.9,13:26:30,AUDIO,PLAY,AOA_01_16,
4883.31,2,8,2021-07-03 13:26:30,+27.07215,-82.43896,24,38.0,225.0,+5.9,13:26:30,AUDIO,STOP,AOA_05_16,
4883.81,2,8,2021-07-03 13:26:31,+27.07208,-82.43904,24,39.1,224.7,+5.9,13:26:31,AUDIO,STOP,AOA_01_16,
4884.31,2,8,2021-07-03 13:26:31,+27.07202,-82.43911,24,39.7,225.0,+5.9,13:26:31,AUDIO,PLAY,AOA_01_16,
4884.81,2,8,2021-07-03 13:26:32,+27.07195,-82.43919,24,40.3,225.9,+5.9,13:26:32,AUDIO,PLAY,AOA_02_16,
4884.81,2,8,2021-07-03 13:26:32,+27.07195,-82.43919,24,40.3,225.9,+5.9,13:26:32,AUDIO,STOP,AOA_01_16,
4885.31,2,8,2021-07-03 13:26:32,+27.07189,-82.43926,25,40.8,226.3,+5.9,13:26:32,AUDIO,STOP,AOA_02_16,
5142.81,2,8,2021-07-03 13:30:50,+27.07578,-82.43490,25,39.4,224.5,+5.9,13:30:50,AUDIO,PLAY,AOA_04_16,
5142.81,2,8,2021-07-03 13:30:50,+27.07578,-82.43490,25,39.4,224.5,+5.9,13:30:50,AUDIO,STOP,AOA_02_16,
5143.31,2,8,2021-07-03 13:30:50,+27.07572,-82.43497,26,38.6,225.0,+5.9,13:30:50,AUDIO,PLAY,AOA_07_16,
5143.31,2,8,2021-07-03 13:30:50,+27.07572,-82.43497,26,38.6,225.0,+5.9,13:30:50,AUDIO,STOP,AOA_04_16,
5143.81,2,8,2021-07-03 13:30:51,+27.07566,-82.43504,25,37.9,225.9,+5.9,13:30:51,AUDIO,PLAY,AOA_08_16,
5143.81,2,8,2021-07-03 13:30:51,+27.07566,-82.43504,25,37.9,225.9,+5.9,13:30:51,AUDIO,STOP,AOA_07_16,
5144.31,2,8,2021-07-03 13:30:51,+27.07560,-82.43511,25,37.4,226.3,+5.9,13:30:51,AUDIO,PLAY,AOA_05_16,
